GEOID,population_density,population,median_age,below_poverty_level,median_income,average_household_size
12011090200,3000.488734,3921,48,432,105057,2.420000076
12071010411,3515.085495,4331,50,625,54346,2.390000105
12117021707,5569.512855,6390,36.20000076,713,54664,2.130000114
12103025108,4751.008567,2221,63.90000153,145,49107,1.940000057
12011020302,8092.738667,8097,38.90000153,1075,53543,2.910000086
12005001404,2550.810608,8353,38.20000076,1048,70060,2.650000095
12009065202,2158.594176,5263,46.09999847,639,50360,2.690000057
12086004204,15959.46617,2387,37.79999924,348,47575,1.789999962
12103024902,4330.026313,7236,40.90000153,1517,45000,2.660000086
12057013305,2141.339102,4856,44.29999924,205,83222,2.960000038
12099005810,3670.329653,1804,69.59999847,286,28679,1.840000033
12086006301,14950.98216,7608,51,1683,32477,2.549999952
12103023400,3562.093868,1673,41.29999924,321,43750,1.919999957
12099003511,3947.601959,1788,74.30000305,49,168000,1.75999999
12105014902,1526.010075,8050,30.10000038,2602,40320,3.670000076
12086009503,4232.123727,4253,37.59999847,871,48523,3.460000038
12069030503,1168.370766,1618,25.79999924,347,34716,2.869999886
12087972100,3007.167627,4843,34.09999847,243,65926,2.519999981
12086001502,5873.451853,3880,29.20000076,1544,29833,3.25
12095017504,1920.290376,9179,33.29999924,717,57370,3.190000057
12011090404,8569.921218,5292,33.20000076,1030,43641,2.700000048
12105013802,2931.610383,6624,31.60000038,1256,54519,3.039999962
12086980500,0,0,NULL,0,NULL,NULL
12011043002,8259.129187,8333,35,1251,60333,3.829999924
12115002716,739.6126518,7027,60,468,75888,2.25
12057011520,3318.201989,5094,37.29999924,162,121000,2.650000095
12011090900,5598.348449,5520,44.40000153,80,100750,3.019999981
12113010704,955.0469254,6690,35.70000076,407,76471,2.789999962
12099007416,4824.605991,3615,69.30000305,264,102895,1.889999986
12086000202,8169.750838,6717,39.79999924,1415,41143,3.049999952
12099005951,9203.029029,4584,42.59999847,428,57104,2.549999952
12086002404,16644.3752,5986,40.09999847,2608,18313,2.309999943
12117021403,2048.512151,8902,39.59999847,271,96672,2.75999999
12031014326,2359.321446,8590,35.59999847,475,89375,2.99000001
12071050103,590.2580018,1006,62.70000076,137,63750,1.960000038
12105012001,684.8824637,6218,30.29999924,1376,42049,3.329999924
12021011105,1005.454898,2967,66.30000305,283,57827,2.109999895
12071990000,NULL,0,NULL,0,NULL,NULL
12011110309,7679.789459,6967,45.20000076,352,62382,2.680000067
12011020413,11647.1562,7569,35,1509,46820,2.99000001
12127080805,3517.868823,5473,49.29999924,967,34116,2.00999999
12071020202,207.5140844,2576,46.5,297,90000,3.019999981
12107951402,107.8322964,3952,45.09999847,931,38087,2.700000048
12115002009,1083.775985,7874,65.90000153,200,80706,1.909999967
12086006900,10648.87731,6672,46.70000076,1009,47000,2.650000095
12101032601,3210.908736,3421,26.79999924,1092,38358,2.980000019
12031000600,3163.126042,5375,32.20000076,1763,43573,2.630000114
12086020100,11663.20899,4783,43.59999847,517,89417,4.099999905
12011110331,5467.828381,11362,39.29999924,177,102804,3.359999895
12057006801,5829.025496,4469,41.79999924,329,55263,2.109999895
12103027319,5536.555827,5418,41,310,52618,2.559999943
12093910500,881.1373302,4387,43.79999924,947,38986,2.529999971
12011060119,8659.364412,6604,38.20000076,312,73906,2.700000048
12103027704,5931.428085,2448,59,172,72768,1.980000019
12103024801,4019.842646,4103,47.09999847,480,48301,2.269999981
12103027901,2900.112756,2140,60,113,75585,1.75999999
12099004005,8556.726264,4643,33.79999924,757,53962,3.589999914
12127083009,866.7854274,3919,50.29999924,410,58697,2.730000019
12063210500,226.7111107,3868,37.5,860,40213,2.289999962
12027010403,48.58026384,3855,60.5,363,48140,2.49000001
12001001400,569.0176749,4652,32.29999924,934,42813,3.180000067
12017451602,814.2207547,6590,64.30000305,592,53330,2.089999914
12099001402,2034.551421,2833,28.20000076,747,39922,3.339999914
12105013801,2821.947329,3109,41.59999847,824,41198,2.650000095
12071030203,643.5525574,1792,36.40000153,79,72813,3.380000114
12011041400,5135.936046,3928,31,1553,24228,3.230000019
12095017103,549.1134693,29497,34.09999847,3467,78291,2.930000067
12055960502,545.8845477,7897,64.30000305,916,51660,2.210000038
12111380901,1753.288216,2438,56.59999847,515,37031,2.289999962
12086008415,3327.089269,5284,40.09999847,393,145625,3.49000001
12099000905,2784.507526,5005,52.70000076,472,86912,2.660000086
12083002605,303.8176111,4806,70.19999695,200,62179,2.00999999
12086007603,8049.351255,4047,27.60000038,1279,30184,2.779999971
12086000204,4412.416146,4873,36.29999924,562,62262,4.170000076
12113010702,205.7923082,7612,41.79999924,557,71037,2.700000048
12095016410,4407.655188,8850,36.20000076,1617,50555,2.869999886
12101030202,1642.202117,2900,57,401,48250,1.840000033
12086001602,8184.303727,6651,45.79999924,864,44359,3.569999933
12049970101,47.38241335,3851,36.59999847,747,49432,3.400000095
12009060600,1807.402202,4762,41,704,44043,2.420000076
12073001500,3585.834809,4939,26.70000076,1230,47653,2.529999971
12071040112,1437.267049,4039,62.59999847,335,82188,2.369999886
12031012800,3705.131026,7228,36.20000076,1719,45413,2.970000029
12057000102,4900.650041,6437,32.09999847,2123,25963,2.579999924
12097042601,8007.590817,4335,36.40000153,785,52935,4.21999979
12021010801,2647.386072,3675,65.69999695,229,51750,1.889999986
12105014121,282.5826399,2982,30.60000038,989,56618,3.74000001
12099006605,4756.259751,4793,53,217,66550,2.470000029
12103023500,7238.999877,3464,35.70000076,789,39608,1.909999967
12079110301,84.50755911,2418,47.90000153,653,46950,2.539999962
12007000300,47.91261946,7113,47.09999847,1176,57923,2.5
12099007504,3352.048408,3168,57,279,72389,1.970000029
12099005411,2121.317561,3446,63.90000153,290,83854,2
12071050208,4453.087281,6478,34.29999924,1078,65924,3.25
12011030802,3803.752286,6415,57.59999847,642,50421,1.879999995
12011060603,7010.491759,5025,33.79999924,557,75664,2.99000001
12099007834,893.6867704,1631,67.19999695,143,103516,2.029999971
12115002510,2233.719539,3945,60.20000076,278,59402,2.109999895
12105011913,1654.875448,2653,35.70000076,429,47743,3.089999914
12127083007,556.2737048,5032,39.59999847,754,63491,3.029999971
12099007813,3280.329171,6916,37.09999847,172,78837,3.410000086
12101030405,2959.652122,2061,41.70000076,272,37292,2.309999943
12099006502,5458.262099,3926,40.29999924,595,91929,2.25
12087972500,264.0258107,1104,51,17,101184,1.899999976
12086001005,5746.888435,2190,53.40000153,621,30886,2.390000105
12057013208,1697.225275,5278,43.90000153,23,118906,2.950000048
12101031010,7195.458253,5245,36.70000076,1230,34511,2.640000105
12103026909,4976.276831,4800,57.20000076,449,30237,1.950000048
12069030306,780.1034246,4098,61.70000076,367,43060,1.980000019
12086000122,41444.06053,4348,53.90000153,467,74583,2.089999914
12009071335,1651.185528,4387,53.70000076,197,69604,2.720000029
12101031506,2984.488593,3696,38.29999924,503,44266,2.390000105
12097042702,7358.823608,7286,37.40000153,784,37330,3.24000001
